Магазин;ГУИДМагазина;СкидкаНаценка;Номенклатура;ГУИДНоменклатуры;ХарактеристикаНоменклатуры;ГУИДХарактеристикиНоменклатуры;ЗначениеСкидкиНаценки;ДатаОкончания;ДатаНачала;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Жакет Coccodrillo;7f318846-4831-11e6-917c-005056977cd8;р.98, 52, 1-3;7f318848-4831-11e6-917c-005056977cd8;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Санки;a06c1832-18fe-11e2-a90e-005056b60009;;;20;28.02.17;01.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Костюм (жакет,брюки) Lemon;7706b470-7a43-11e6-9569-005056977ec5;р.128, 64, темно-синий, 7-12;7706b473-7a43-11e6-9569-005056977ec5;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Брюки Coccodrillo;ce076d96-d97e-11e6-826a-0050569740d4;р.104, 56, 3-6;ce076d9a-d97e-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Манишка Coccodrillo;45e6481d-48fa-11e6-ac1b-0050569740d4;р.универсальный, 1-3;06a07724-4900-11e6-ac1b-0050569740d4;50;31.03.17;27.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Полукомбинезон "Лапки" АГУ;b8a33f76-0b9b-11e2-b8a5-005056b60009;р.74, 44, 0-1;b8a33f78-0b9b-11e2-b8a5-005056b60009;40;05.03.17;21.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Брюки Coccodrillo;f8f7fbd9-d964-11e6-826a-0050569740d4;р.86, 48, 1-3;f8f7fbdc-d964-11e6-826a-0050569740d4;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Ползунки АГУ;de07e3f6-6644-11e3-ae88-005056977cd8;р.56-, 36, 0-1;de07e3f8-6644-11e3-ae88-005056977cd8;40;05.03.17;21.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Брюки Lemon;7ac17729-79b0-11e6-bc75-0050569740d4;р.104, 56, 51, серый, 3-6;7ac1772d-79b0-11e6-bc75-0050569740d4;20;12.03.17;07.03.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Легинсы Coccodrillo;9e408bfe-4811-11e6-917c-005056977cd8;р.140, 68, 7-12;72d40679-4817-11e6-917c-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;П/ботинки Lemon;a1891a62-652a-11e6-a7d2-005056977cd8;7-12, р.36, черный-фуксия;a1891a6d-652a-11e6-a7d2-005056977cd8;40;05.03.17;27.02.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Платье Coccodrillo;593afc18-dbd2-11e6-8162-005056977cd8;р.68, 44, 0-1;593afc1a-dbd2-11e6-8162-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;П/ботинки Lemon;52bac488-653d-11e6-a7d2-005056977cd8;7-12, р.34, черный-фуксия;52bac48d-653d-11e6-a7d2-005056977cd8;40;05.03.17;27.02.17;
40 Буслик Минск, Маяковского-Денисовская;534cd330-563f-11e4-a5b8-005056b60002;Процент;Купальный костюм Coccodrillo;64cbd0c9-05f7-11e6-a714-005056977cd8;р.134, 64, 7-12;64cbd0cd-05f7-11e6-a714-005056977cd8;20;12.03.17;07.03.17;
10 Буслик Минск, ул. Уманская;a174e579-666a-11e0-89b8-0015171f7e18;Процент;Игрушка Классика Строительная пластина желтого цвета LEGO;e758b90f-f224-11e4-aca8-005056977cd8;;;40;16.04.17;22.02.17;
